Blessing,saintMichaelsBlessingText,"MAY THIS SPACE, SOULGATE, BE UNDER\nTHE PROTECTION OF THE LIGHT OF THE\nUNIVERSE.\nMAY THE GUIDANCE OFFERED BE CLEAR\nAND ALWAYS RESPECT FREE WILL.\nMAY ONLY THAT WHICH SERVES THE\nHIGHEST GOOD TAKE PLACE.\nSO BE IT. THANK YOU. THANK YOU.\nTHANK YOU.","QUE ESTE ESPACIO, SOULGATE, ESTÉ BAJO\nLA PROTECCIÓN DE LA LUZ DEL\nUNIVERSO.\nQUE LA GUÍA OFRECIDA SEA CLARA\nY SIEMPRE RESPETE EL LIBRE ALBEDRÍO.\nQUE SOLO AQUELLO QUE SIRVA AL\nBIEN MÁS ALTO TENGA LUGAR.\nASÍ SEA. GRACIAS. GRACIAS.\nGRACIAS."
Blessing,saintMichaelsBlessingTextSH,May this space SoulGate be under the protection of the Light of the Universe. May the guidance offered be clear and always respect free will. May only that which serves the highest good take place. So be it. Thank you. Thank you. Thank you.,Que este espacio SoulGate esté bajo la protección de la Luz del Universo. Que la guía ofrecida sea clara y siempre respete el libre albedrío. Que solo aquello que sirva al bien más alto tenga lugar. Así sea. Gracias. Gracias. Gracias.
Messages,msg1,Consulting the universe...,Consultando el universo...
Messages,msg2,Interpreting your path...,Interpretando tu camino...
Messages,msg3,Getting Ready ...,Preparándose...
Common,home,Home,Inicio
Common,start,Start,Comenzar
Common,profile,Profile,Perfil
Common,welcome,Welcome,Bienvenido
Common,welcomeBack,Welcome back,Bienvenido de nuevo
Common,save,Save,Guardar
Common,delete,Delete,Eliminar
Common,cancel,Cancel,Cancelar
Common,ok,OK,Aceptar
Common,close,Close,Cerrar
Common,back,Back,Atrás
Common,submit,Submit,Enviar
Common,search,Search,Buscar
Common,filter,Filter,Filtrar
Common,sortBy,Sort by,Ordenar por
Common,viewAll,View all,Ver todo
Common,readMore,Read more,Leer más
Common,readLess,Read less,Leer menos
Errors,emailRequired,Email is required,El correo electrónico es obligatorio
Errors,passwordRequired,Password is required,La contraseña es obligatoria
Errors,invalidEmail,Invalid email format,Formato de correo electrónico no válido
Errors,passwordTooShort,Password must be at least 6 characters,La contraseña debe tener al menos 6 caracteres
Errors,passwordsDoNotMatch,Passwords do not match,Las contraseñas no coinciden
Errors,loginFailed,Login failed. Please try again.,Inicio de sesión fallido. Inténtalo de nuevo.
Errors,registrationFailed,Registration failed. Please try again.,Registro fallido. Inténtalo de nuevo.
Errors,networkError,Network error. Please check your connection.,Error de red. Verifica tu conexión.
Errors,somethingWentWrong,Something went wrong,Algo salió mal
Questions,Q1,What do I need in my life right now?,¿Qué necesito en mi vida en este momento?
Questions,Q2,Lack of clarity and motivation,Falta de claridad y motivación
Questions,Q3,About my life purpose,Sobre mi propósito de vida
Questions,Q4,About love and relationships,Sobre el amor y las relaciones
Questions,Q5,"About my work, professional life, and projects",Sobre mi trabajo mi vida profesional y mis proyectos
Questions,Q6,About my financial situation and my relationship with money,Sobre mi situación financiera y mi relación con el dinero
Questions,Q7,"Tell me, what's in your mind?",Cuéntame ¿qué tienes en mente?
